NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 3, at cycle: 778718.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 3, at cycle: 778719.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 3, at cycle: 778736.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 3, at cycle: 778743.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 3, at cycle: 778763.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 3, at cycle: 778806.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 3, at cycle: 778808.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 3, at cycle: 778858.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 3, at cycle: 778860.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 3, at cycle: 778924.000000
NEW_JOB_RELEASED, task 1, job 4, at cycle: 828620.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 4, at cycle: 828705.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 4, at cycle: 828778.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 4, at cycle: 828790.000000
NODE_EXECUTION_STARTED, task 1, sequence 2, node 3, job 4, at cycle: 828807.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 4, job 4, at cycle: 828811.000000
NODE_EXECUTION_FINISHED, task 1, sequence 2, node 3, job 4, at cycle: 828880.000000
SEQUENCE_TERMINATED, task 1, sequence 2, before node 5, job 4, at cycle: 828881.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 4, at cycle: 828898.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 4, at cycle: 828900.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 4, at cycle: 828920.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 4, at cycle: 828927.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 4, at cycle: 828948.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 4, at cycle: 828999.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 4, at cycle: 829000.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 4, at cycle: 829057.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 4, at cycle: 829059.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 4, at cycle: 829143.000000
NEW_JOB_RELEASED, task 2, job 3, at cycle: 838813.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 1, job 3, at cycle: 838868.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 1, job 3, at cycle: 838940.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 2, job 3, at cycle: 838951.000000
NODE_EXECUTION_STARTED, task 2, sequence 2, node 3, job 3, at cycle: 838967.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 4, job 3, at cycle: 838971.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 2, job 3, at cycle: 839023.000000
SEQUENCE_TERMINATED, task 2, sequence 1, before node 5, job 3, at cycle: 839025.000000
NODE_EXECUTION_FINISHED, task 2, sequence 2, node 3, job 3, at cycle: 839040.000000
SEQUENCE_TERMINATED, task 2, sequence 2, before node 5, job 3, at cycle: 839042.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 4, job 3, at cycle: 839043.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 5, job 3, at cycle: 839074.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 5, job 3, at cycle: 839146.000000
NEW_JOB_RELEASED, task 1, job 5, at cycle: 878778.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 5, at cycle: 878866.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 5, at cycle: 878940.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 5, at cycle: 878952.000000
NODE_EXECUTION_STARTED, task 1, sequence 2, node 3, job 5, at cycle: 878968.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 4, job 5, at cycle: 878973.000000
NODE_EXECUTION_FINISHED, task 1, sequence 2, node 3, job 5, at cycle: 879041.000000
SEQUENCE_TERMINATED, task 1, sequence 2, before node 5, job 5, at cycle: 879043.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 5, at cycle: 879061.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 5, at cycle: 879062.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 5, at cycle: 879080.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 5, at cycle: 879088.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 5, at cycle: 879110.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 5, at cycle: 879160.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 5, at cycle: 879161.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 5, at cycle: 879228.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 5, at cycle: 879230.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 5, at cycle: 879303.000000
NEW_JOB_RELEASED, task 2, job 4, at cycle: 909119.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 1, job 4, at cycle: 909173.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 1, job 4, at cycle: 909246.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 2, job 4, at cycle: 909257.000000
NODE_EXECUTION_STARTED, task 2, sequence 2, node 3, job 4, at cycle: 909272.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 4, job 4, at cycle: 909277.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 2, job 4, at cycle: 909329.000000
SEQUENCE_TERMINATED, task 2, sequence 1, before node 5, job 4, at cycle: 909330.000000
NODE_EXECUTION_FINISHED, task 2, sequence 2, node 3, job 4, at cycle: 909344.000000
SEQUENCE_TERMINATED, task 2, sequence 2, before node 5, job 4, at cycle: 909346.000000
